이름,플랫폼,작가,그림,장르,상태,요일,조회수,별점,총화수,무료,무료주기,키워드,줄거리,첫화링크
그녀와 야수,kakaopage,홍슬,홍슬,로판,일시적 휴재,월,"3,470.5만",10.0,148,6,3시간,로맨스판타지,"제국의 시조였던 전설적인 인물 마티나의 죽음으로부터 백 년 후,마티나는 귀족가의 일개 여식인 아스티나로 환생한다전생과 다른 평화로운 일상은 잠시,아버지의 파산으로 인해 아스티나는야수의 형상을 한 테리오드 대공에게로 팔려 간다“급소를 쳐서 기절시켰어요”“기…… 절시키셨다고요?”하룻밤에 죽어 나갈 것이라는 모두의 예상과 달리그녀는 화려한 검술로 괴물 테리오드를 제압해애완동물로 길들이기 시작한다“테오, 앉아”“컹”달빛이 아름다운 어느 밤,자신을 잘 따르는 테리오드가 기특해아스티나는 그에게 짧게 입을 맞춰 주는데……“……테오?”아스티나의 애완동물이……사람이 됐다?결핍된 괴물 남편과 무심한 아내의 본격 조련 로맨스==============================[표지 및 타이틀 로고 디자인] 송가희",https://page.kakao.com/content/55566760
랭커를 위한 바른 생활 안내서,kakaopage,심상,직믹,로판,연재중,월,482.9만,9.9,26,4,1일,"로맨스판타지,여주판타지,먼치킨,운명,인외존재,초월적존재,역하렘,순정남,능력남,능력녀,걸크러쉬,계약관계,드라마,로맨틱코미디","21세기, 세상의 장르는 '판타지'온 국민들에게 충격과 공포를 안겨준 '악몽의 3월' 사건을 겪고절망으로 가득했던 대한민국에 최초의 'S급'이 내려왔다S급의 이름은 '마술사왕 죠'별수저 잘 잡아 천상계 랭커 1위가 되었지만,신비주의를 고수하며 은둔 생활 중인 '죠'의 정체는?바로 견씨 일가의 장녀이자 평범한 삼수생, 견지오[ 제발 당신이 누군지 압니다 마술사왕 ] 그녀 앞에 갑자기 등장한 회귀자 백도현부터[순위가 변동합니다][견지오 님의 현재 국내 순위는 2위입니다]네…? 뭐야, 이게 내 1위 돌려줘요별님, 나 꽃길만 걷게 해준다며…[성약성이 당신의 뻔뻔한 인성질에 감탄합니다]느닷없이 내려간 헌터 랭킹 순위까지그녀의 평화롭던 일상에 금이 가기 시작하는데사람 구실하게 하려는 주변으로부터 안락하고 게으른 백수 인생을 사수해야만 한다카카페 인기 로맨스 판타지 웹소설톄제 원작의 <랭커를 위한 바른 생활 안내서> 완벽 비주얼화",https://page.kakao.com/content/63818432
레벨업 닥터 최기석,kakaopage,스튜디오 질풍,살무,드라마,시즌 휴재,월,867.7만,9.9,111,4,3시간,"일상물,판타지물,현대물,힐링물,메디컬,성장물,영혼체인지/빙의,환생물,짝사랑,의사,고퀄리티,남주중심,두근거리는,분량많은",고아로 자라 그 누구에게도 마음을 열지 않고 최고의 흉부외과 의사가 되기 위해 피나는 노력을 했던 나 정해진갑작스러운 사고로 눈을 떠보니 '정해진'이 아닌 '최기석'으로 살아가야 하는 것으로도 모자라서 내가 가진 스킬을 <레벨업> 해야 한다고?사고 후 송두리째 바뀌어버린 운명과연 이제 막 걸음마를 뗀 '최기석'의 몸으로 '최고의 흉부외과 의사'가 될 수 있을까?<레벨업 닥터 최기석> 스튜디오질풍매주 월요일에 연재됩니다,https://page.kakao.com/content/59495324
환골탈태,kakaopage,마고(mago),마고(mago),드라마,일시적 휴재,월,"5,906.7만",10.0,231,3,1일,,"부드러운 살가죽, 짧고 까칠한 털, 작고 조그만 발이 해괴하고 귀여운 생물체는 대체 무엇?해골(스켈레톤)은 독립하면서 아기 고양이를 기르기로 한다드디어 이사 날에 인간계 대행 서비스를 이용해 받은 아기 고양이그런데 몸에 털도 별로 없고 아기 고양이가 원래 이렇게 생겼었나?인간계 대행 서비스 센터는 연결이 되지 않고,졸지에 돌연변이 아기 고양이를 떠맡은 해골설상가상 아기 고양이의 울음소리에 옆집에서 항의가 쏟아지는데아기 고양이 키울 수 있을까?마계에서 벌어지는 해골과 악마 아담, 서큐버스 릴리의 좌충우돌 아기 고양이 육아 대작전이 시작합니다",https://page.kakao.com/content/51703113
문샤크: 상어가 스타성을 타고남,kakaopage,"신새벽, 김은또",은쏨,로맨스,일시적 휴재,일,12.1만,9.9,51,3,3일,"현대로맨스,재회물,연예계물,학원물,인외존재,우연한만남,짝사랑,첫사랑,까칠남,순정남,짝사랑남,능력녀,엉뚱발랄녀,걸크러쉬,사이다녀",해저 왕국 상어 공주님 시드의 풋풋한 하이틴 성장 로맨스바다의 왕좌를 이어야 하는 운명을 타고난 해저 왕국 공주 '시드'는지상의 아이돌 '라운'을 보고 입덕해 최애를 보기 위해 가출해 육지로 올라온다그렇게 평범하게 덕질하며 만족스러운 나날을 보내고 있던 시드 앞에갑자기 나타난 유명 배우 '지한'의도치 않게 둘은 자꾸 엮이게 되고¨하루아침에 SNS 스타까지 되어버리는데…,https://page.kakao.com/content/62870471
대자객교,kakaopage,수해강천,수해강천,무협,일시적 휴재,일,126만,9.8,57,3,1일,"정통,객잔무협,먼치킨,무림,성장,천재,검,살수,협객","화산 풍뢰곡에 걸려있는 위태로운 다리 대자객교(大刺客橋)자객의 신화를 이룩한 대자객교목숨이 황금과 교환되는 곳 누구라도 상관없다 대가만 치른다면 그 어떤 자의 목숨이라도 거둘 수 있으니까이혈릉은 다 죽어가는 상태로 대자객교주에게 발견된다 하지만 겨우 목숨을 건졌을 뿐 자신에 관한 그 어떤 것도 기억하지 못한다 기억을 잃은 그에게 대자객교주는 ‘이혈릉’이란 이름을 주었고 살수무공을 전수하며 대자객교의 사살(四煞)로 변신시킨다일약 천하제일의 자객으로 불리게 된 대자객교의 사살 이혈릉 그의 모든 행동은 대자객교주의 명에 따라 이루어진다 목숨을 구해준 빚을 탕감할 때까지평상시에는 기루의 서기, 명이 떨어지면 자객으로…그에게 실패란 없다",https://page.kakao.com/content/62221960
사랑하지 않는 세상의 유나 씨,kakaopage,정여하,정여하,로맨스,연재중,수,735,10.0,36,6,,"현대로맨스,차원이동물,우연한만남,다정남,개그물",[매주 수요일 업데이트]누구에게도 정 붙이지 못하고 살아온 유나는 어느 날 보살피던 길고양이를 구하다가 사고를 당하게 된다그 고양이는 다름아닌 천사였다?자신을 구해준 유나에게 다른 세상에서 새롭게 인생을 시작할 수 있는 계약서를 내밀고 유나는 거기에 사인하지만 도착한 곳은 한국과 비슷하지만 전혀 다른 제도를 가진 머나먼 왕국더군다나 이전 세상과 같은 블랙기업에 다니는 것은 물론이고 천사에게 보답으로 받은 유나 명의의 아파트는 거액의 대출이 존재하고 있는 상태였다유나는 고양이 천사가 자신에게 사기 계약을 친 걸 알고 그를 찾아 원래 세계로 돌아가고자 하는데?,https://page.kakao.com/content/63381927
시한부라서 남주의 형과 결혼했더니 내게 집착한다,kakaopage,EON COMICS,EON COMICS,로판,연재중,수,14.2만,9.5,41,3,,"로맨스판타지,빙의물,몸정>맘정,시한부,운명,상처남,능력녀,계략녀,직진녀,계약관계,치유물","20년간 남부러울 것 없는 공작가 막내딸로 살아왔는데, 알고 보니 이곳이 소설 속 세상이라고?심지어 한번 잠에 들면 깨어나지 못하는 병에 걸려 일 년 남짓 후면 죽게 될 운명이라니살기 위해선 세상 가장 추악하다 여겨지는 피를 물려받은 원작 남주와의 스킨십이 필요하다그런데 원작 남주가… 어려도 너무 어리잖아?이렇게 된 거, 남주의 형을 공략한다“로이든 블라이튼 공작님, 제 남편이 되어주세요”“제가 이렇게 해드리면… 정말 편해지십니까?”살기 위해서 만지기 시작했는데, 나도 모르게 더 진한 스킨십을 바라게 되는 건 어째서일까?그리고 저 남자의 집착 어린 눈빛은… 또 뭐지?시한부였던 여자의 혼란스러운 계약 결혼 로맨스",https://page.kakao.com/content/63131593
회귀했는데 FFF급 부두술사,kakaopage,핀볼,MENG,판타지,연재중,수,431만,9.5,73,3,3시간,"게임,환생,복수,회귀,먼치킨,시스템,마계,성장,조력자,이능력,마왕,창,만능,플레이어","게임 [마왕 침공] 퀘스트를 클리어하기 직전 주인공 마진성은믿고 따르던 원정대의 동료에게 배신 당하고 한순간에 버림받는다모든 게 끝났다고 생각하던 찰나, 낯선 목소리에 이끌려 회귀하게 되는데'알림: 최종 목표 조건에 따른 클래스를 부여합니다'[부두술사]생각지도 못한 캐릭터로 다시 접속하게 된 게임,부두술사 마진성이 선보이는 흥미진진한 여정",https://page.kakao.com/content/61625443
"그 어장, 내가 가져보겠다",kakaopage,다온스튜디오,다온스튜디오,로판,연재중,수,260.8만,9.9,40,3,1일,"로맨스판타지,육아물,빙의물,먼치킨,로맨틱코미디,치유물,힐링물,능력녀,다정녀,직진남,계략남,다정남,초월적존재,천재,역하렘","재벌가 사생아였던 첫 번째 삶, 마교주의 사생아였던 두 번째 삶을 지나 이번 생은 소설 속 멸문 당하는 가문의 사생아로빙의했다멸문당하는 가문따위 버리고 떠나려고 하는데,원작에서는 사생아에게 신경도 쓰지 않던 아빠가 이상하다""블리스, 너를 위해선 뭐든지 해줄 수 있단다""그리고 미래에 가문을 멸문시킬 악녀인 언니가 눈에 들어오기 시작한다""안녕, 아가야, 나는 네 언니야""그래 이번 생은 가족들과 함께 살아보자라고 결심하자마자 원작 여주의 어장에 있어야 하는 남주들이 나에게 집착하기 시작한다내 세 번째 인생, 이대로 괜찮을까?",https://page.kakao.com/content/62890486
아씨의 법정,kakaopage,이오삼,반숙,로맨스,일시적 휴재,수,593.3만,9.9,90,3,3시간,,"세손빈으로 설레는 나날을 보내던 때,아버지가 역모의 누명을 쓰고 집안이 몰락했다간신히 탈출해 목숨을 부지한 나는먼 남자 친척의 이름을 빌려 외지부(변호사)로 살게 되었다그런데… 남장도 그럴듯하게 잘 어울리고,외지부로서의 능력과 수완도 누구보다 출중하잖아?백전백승의 승률을 자랑하는 외지부가 바로 나, 강은산이란 말씀어느 날 밤, 길에서 우연히 얽히게 된 이 초시란 작자가‘외지부란 돈만 밝히는 더러운 집단’이라며 비난하는 게 아닌가게다가 외지부가 백성에게 꼭 필요한 직업이란 사실을송사 세 번 안에 증명하라는 내기를 제안해 왔다…조선 법정 로맨스 <아씨의 법정>",https://page.kakao.com/content/59452548
악녀가 될 수밖에 없는 이유,kakaopage,,이광휘,로판,연재중,수,122만,9.8,31,4,1일,"로맨스판타지,빙의물,능글남,악녀,상처녀","희대의 미친년으로 불리는 악역으로 환생한 나 하지만 나는 환호했다 왜냐하면 악녀 르네 블레어는 돈이 많았으니까비록 작품 초반에 죽지만 아무렴 어때,나쁜 짓은 그만두고, 앞으로 모두에게 잘하는 거야 혹시 알아?갑자기 돌변하면 흔한 악녀 빙의물처럼 남주 후보들이 나를 좋아하게 될지띠링[오늘의 미션 : 시중드는 시녀의 뺨을 때리자]그런데 이 정신 나간 미션 창은 뭐야?*“이제부터 나 시녀 할래”안절부절 못하는 시녀를 뒤로 한 채,‘난 시녀야’를 염불 외듯 중얼거리면서 손바닥을 들었다그리고 내리쳤다내 뺨을",https://page.kakao.com/content/63406852
마인화산,kakaopage,,신호등M80,무협,시즌 휴재,수,495.3만,9.7,83,3,1일,"퓨전,무림,복수,마교,화산,먼치킨","무림공적, 천살마군 염세악검신 한호에게 잡혀 화산에 갇힌 지 백년와신상담… 절치부심… 복수무한…세월은 이 모든 것을 잊게 하고 세상마저 그를 잊게 만들었다하지만“허면 어르신 함자가 어찌 되시는지……”우연한 만남, 자신도 모르게 튀어나온 원수의 이름“그게… 한, 한호일세”허무함의 끝에서 예기치 않게 꼬인 행로화산파 안[in]의 절세마인, 염세악의 선택",https://page.kakao.com/content/59849934
악당 가문의 상속녀입니다,kakaopage,코타비,강재건,로판,연재중,수,430.9만,9.9,30,3,3시간,"육아물,성장물,가족물,인외존재,애교남,능력남,계략남,순진남,능력녀,엉뚱발랄녀,계략녀,재벌녀,힐링물","소설 속 엑스트라로 환생한 지 10년차날 거둬 키워주신 집 주인 할아버지가 돌아가신 날,악명 높은 공작 가문 '블라스코'에서 찾아왔다""선대 공작 각하께서 카티샤 양께 모든 유산을 상속하셨습니다""""선대 공작 각하···?""그니까 할아버지가 '블라스코' 공작 각하였다구요?어마어마한 유산을 물려받아 기쁜 것도 잠시,'그' 블라스코 공작가가 핏줄도 아닌 날 가만둘 리 없다""아니, 전 사양""""상속세를 제외한 현금과 중앙은행의 개인 금고,그 외 블라스코 명의로 된 모든 것들을 그대로 가지시면 됩니다""""가겠습니다""이왕 이렇게 된 거, 내 돈 끝까지 지켜보자고나는야 돈에 목숨을 거는 속물 1호,<악당 가문의 상속녀입니다>",https://page.kakao.com/content/63136561
수보교낭,kakaopage,편방방,열문만화,로맨스,연재중,수,"9,642",10.0,81,4,,"동양풍,빙의물,메디컬물,츤데레남,능력녀,걸크러쉬,삼각관계,달달물,로맨틱코미디,개그물,힐링물,권선징악"," ‘이렇게 기구한 타임슬립도 있나…?’비행기 사고로 목숨을 잃은 주인공은 가상의 고대 왕조 소나라에서 ‘고교’라는 소녀에게 빙의 되어 깨어난다몸의 원래 주인은 청천촌에서 이름난 ‘고 씨네 멍청이’였다어딜 가나 놀림받는 건 일상, 얼렁뚱땅 혼인한 절름발이 서방님까지 달고 있는데, 찢어지게 가난하기까지고교에게 남은 것은 전생에 쌓은 의학 지식과 낡은 약상자뿐이다현대의 약품과 의료 기구는 물론, 써도 써도 채워지는 이 신비한 약 상자 덕에 고교는 발 빠르게 활약하며, 청천촌의 ‘신의’가 되어가는데…어렵사리 얻은 새로운 삶, 고교는 과연 잘 헤쳐나갈 수 있을까?",https://page.kakao.com/content/63286976
